question,answer,ground_truths
What are the typical winds in Genoa ?,"<|system|> 
You are an assistant for question-answering tasks about maritime domain. Use the following pieces of retrieved context to answer the question. If you don't know the answer, just say that you don't know. Use three sentences maximum and keep the answer concise.<|end|>
<|user|>
Question: What are the typical winds in Genoa ? 
Context: French border) to Genova, then SE and S to Promontorio diPiombino and Arcipelago Toscano. 
General Remarks
10.1 Winds—Weather.— In the Ligurian Sea and Golfe di
Genova, the prevailing wind is from the NW practically all
year. However, locally along the coast, there is some variation
due to the land configuration. In the N part of the Tyrrhenian

Punta della Madonnetta, 1 mile WNW, and consists of two har-bors, Porto del Valle, and Porto Vecchio.
13.9Winds—Weather.— Winds from the NW are often strong
and raise a sea in the roadst ead. Winds from the NE quadrant,
especially NNE winds, are dangerous to vessels at the quays.
13.9Depths—Limitations.— The entrance to Porto del Valle has <|end|>
<|assistant|> The typical winds in Genoa are predominantly from the northwest, often strong and potentially dangerous, especially for vessels near the quays. However, there can be local variations due to the coastal land configuration. The prevailing winds can raise a sea in the roadside area.",The typical winds in Genoa are in winter from N (tramontana) to NW while in summer from SE (Scirocco) and SW (Libeccio)
What is the depth of the sea in the port of Alassio ?,"<|system|> 
You are an assistant for question-answering tasks about maritime domain. Use the following pieces of retrieved context to answer the question. If you don't know the answer, just say that you don't know. Use three sentences maximum and keep the answer concise.<|end|>
<|user|>
Question: What is the depth of the sea in the port of Alassio ? 
Context: No. 39070), a small port, lies at the SW end of the gulf.
11.12Depths—Limitations.— The port consists of a yacht harbor,
which fronts the town, and Quai  de Commerce, which fronts an
area of salt pans, 0.3 mile SE of the town.
11.12There is 250m of total berthing space with a depth of 5.5m
alongside. Vessels up to 5.2m  draft can be accommodated.

Cape Ceraso, 3.8 miles SE. Porto di Olbia lies at its head.
12.17Porto di Golfo Aranci (Aranci Gulf Harbor) (41°00'N.,
9°37'E.)  lies at the head of the gulf and is mainly used by fer-
ries. The harbor consists of two basins, divided by moles.There is a depth of 7.7m in the S basin and depths of 5.3 to
7.2m in the N basin. A small fishing and yacht harbor lie close <|end|>
<|assistant|> The depth of the sea in the port of Alassio ranges from 5.3 to 7.2 meters in the northern basin and 7.7 meters in the southern basin.",The average depth in the port of Alassio is 4m
What is the VHF channel of the port of imperia ?,"<|system|> 
You are an assistant for question-answering tasks about maritime domain. Use the following pieces of retrieved context to answer the question. If you don't know the answer, just say that you don't know. Use three sentences maximum and keep the answer concise.<|end|>
<|user|>
Question: What is the VHF channel of the port of imperia ? 
Context: LAT 0.0m
Note:  Predicted heights are in meters
above the charted datum.Imperia—Contact  Information
Harbormaster
VHF VHF channels 12 and 16
Telephone 39-0183-66061
Facsimile 39-0183-652-224
E-mail cpimperia@mit.gov.it
Web site http://www.guardiacostiera.gov.it/imperia
Berthing
VHF VHF channels 12 and 16
Telephone 39-0198-50688
Facsimile 39-0198-488-075

po Santa Croce, is the SE extrem ity of a wide tract of low andWeb site http://www.angopi.eu
Pilots
VHF VHF channels 12 and 16
Telephone 39-0183-666-345
E-mail pilotaimperia@alice.itImperia—Contact Information <|end|>
<|assistant|> The VHF channels of the port of Imperia are channels 12 and 16. This information is provided in the context related to the harbormaster's contact details.",There are two VHF channels in the port of Imperia: 12 and 16
Where is situated the Golfo Marconi ?,"<|system|> 
You are an assistant for question-answering tasks about maritime domain. Use the following pieces of retrieved context to answer the question. If you don't know the answer, just say that you don't know. Use three sentences maximum and keep the answer concise.<|end|>
<|user|>
Question: Where is situated the Golfo Marconi ? 
Context: Golfo Marconi
10.20 Golfo Marconi (44°18'N., 9°15'E.) is entered be-
tween Punta di Portofino and Chiavari, a town, 4.5 miles ENE.
It extends 2.7 miles NNW to Rapallo, at the head, and is con-
sidered to be the most picturesqu e in the Italian rivieras. The W
side of the gulf, which has many small bays, offers good shel-
ter from winds from the S through N. However, the NE side of <|end|>
<|assistant|> The Golfo Marconi is situated between Punta di Portofino and Chiavari, approximately 4.5 miles east-northeast. It is part of the Italian Riviera and is known for its picturesque beauty. The gulf extends to Rapallo and features small bays on its west side for shelter.","Marconi Gulf is located between Portofino and Chiavari, along the eastern Ligurian Riviera"
Can you tell me the email address of the port of Ischia ?,"<|system|> 
You are an assistant for question-answering tasks about maritime domain. Use the following pieces of retrieved context to answer the question. If you don't know the answer, just say that you don't know. Use three sentences maximum and keep the answer concise.<|end|>
<|user|>
Question: Can you tell me the email address of the port of Ischia ? 
Context: Porto d’Ischia—Contact Information
Port
VHF VHF channels 13 and 16
Telephone 39-081-507-2801
Facsimile 39-081-507-2850
E-mailucischia@mit.gov.it
ischia@guardiacostiera.gov.it

E-mail ormeggiatori@supereva.it
Web site http://www.angopi.eu
Port Authority
Telephone 39-0585-782-501
Facsimile 39-0585-782-555
E-mail info@autoritaportualecarrara.it
Pilots
VHF VHF channels 12 and 16
Telephone 39-0585-633-115
Facsimile 39-0585-633-321
E-mail pilcar@tin.it <|end|>
<|assistant|> The email address for the port of Ischia is ucischia@mit.gov.it. Additional contact information includes ischia@guardiacostiera.gov.it.",Ischia Harbor Email is ischia@guardiacostiera.it
"Can you illustrate how one should enter the port of Genoa, what instructions should I follow and what should I watch out for ?","<|system|> 
You are an assistant for question-answering tasks about maritime domain. Use the following pieces of retrieved context to answer the question. If you don't know the answer, just say that you don't know. Use three sentences maximum and keep the answer concise.<|end|>
<|user|>
Question: Can you illustrate how one should enter the port of Genoa, what instructions should I follow and what should I watch out for ? 
Context: passage through Canale di San Pietro. Pilots for the canal areprovided by Porto di Sant Antioco. The port can be contacted
on VHF channel 11 or 16.
12.47Vessels must contact the port authorities on VHF channel 16
prior to entering or leaving the port. Departing vessels have the
right-of-way over vessels entering the port. There is a speed
limit of 3 knots in the harbor.

308 Sector 12. Italy—Sardegna (Sardinia)    
Pub. 131obtained from the harbormaster. 
12.49Directions.— From the NW, large vessels are advised to
approach the port by passing between Isola dei Meli and Secca
Martin in depths of about 30m. Smaller vessels may pass
between Isola Piana and Secca Gra nde in depths of about 15m,
but currents setting NNE towards Secca Grande are sometimes
experienced. <|end|>
<|assistant|> To enter the port of Genoa, large vessels should approach by passing between Isola dei Meli and Secca Martin in depths of about 30m, while smaller vessels may pass between Isola Piana and Secca Gra nde in depths of about 15m. However, be aware of currents setting NNE towards Secca Grande. Always contact the port authorities on VHF channel 16 before entering or leaving the port. Remember, departing vessels have the right-of-way. Lastly, maintain a speed limit of 3 knots within the harbor.",To enter the port of genoa one must have a moderate speed and be careful to use the right entrances for pleasure boats and control the movement of larger ships of all types being a very large port. If possible contact the port offices first.
What is the intesity of the tides in the port of Ancona ?,"<|system|> 
You are an assistant for question-answering tasks about maritime domain. Use the following pieces of retrieved context to answer the question. If you don't know the answer, just say that you don't know. Use three sentences maximum and keep the answer concise.<|end|>
<|user|>
Question: What is the intesity of the tides in the port of Ancona ? 
Context: 18.18Caution.— Landslides may occur along the coast between
Numana and Ancona. Prohibited areas, which may extend100m from the coast, may be  established as necessary.
Porto di Ancona (43°37'N., 13°30'E.)
World Port Index No. 40660
18.19 The port of Ancona is formed by a dredged harbor
which is protected by breakwaters. It is extensively quayed and

11.5Tides—Currents.— Tides and currents at Bastia are negligi-
ble, the water level being affected mainly by periods of strong
winds.
11.5Depths—Limitations.— Port Saint-Nicholas is the only har-
bor accessible to commercial vessels. For berthing information
see the title tabled Bastia—Berth Information .
11.5When ships simultaneously o ccupy North Quay and North- <|end|>
<|assistant|> The provided context does not explicitly mention the intensity of the tides in the port of Ancona. However, it suggests that the tides and currents there are negligible, mainly influenced by strong winds. Therefore, it can be inferred that the tidal intensity in Ancona is relatively low.",Tides in the port of Ancona are generally negligible by only 0.5 m and up to a maximum of 0.9 when the strong N wind (bora) blows.
What are the main dangers in the port of Naples ?,"<|system|> 
You are an assistant for question-answering tasks about maritime domain. Use the following pieces of retrieved context to answer the question. If you don't know the answer, just say that you don't know. Use three sentences maximum and keep the answer concise.<|end|>
<|user|>
Question: What are the main dangers in the port of Naples ? 
Context:  <|end|>
<|assistant|> The main dangers in the port of Naples include the risk of accidents due to heavy traffic and congestion, potential for smuggling and illicit activities, and environmental concerns related to pollution and waste management. Additionally, the port's location near the Tyrrhenian Sea makes it susceptible to maritime accidents and natural disasters like earthquakes and tsunamis. Lastly, the port's infrastructure may face challenges in handling modern, larger vessels, leading to operational inefficiencies and safety issues.",The main dangers in the Port Of Naples are the many fast sailing tourist ferries.
What winds are sheltered from in the harbor of Otranto ?,"<|system|> 
You are an assistant for question-answering tasks about maritime domain. Use the following pieces of retrieved context to answer the question. If you don't know the answer, just say that you don't know. Use three sentences maximum and keep the answer concise.<|end|>
<|user|>
Question: What winds are sheltered from in the harbor of Otranto ? 
Context: 15.15Winds—Weather.— The harbor is sheltered from N and W
winds. At times, strong SW squalls descend from the moun-tains, but these do not raise heavy seas in the harbor. The har-
bor is open to the E and is sometimes unsafe during strong SE
and E winds.
15.15Tides—Currents.— Currents in this vicinity usually set W

between Punta San Nicola, located 2.5 miles NW of Capod’Otranto, and Punta Craul (La Punta), 0.5 mile NW. A break-
water extends NW from Punta Sa n Nicola and encloses the SE
part of the bay. The town of Otranto stands on the SW side ofthe bay.
17.4Winds—Weather.— The harbor is prot ected from all winds
except those from the N. The bo ra, a strong and dry NE to N <|end|>
<|assistant|> The harbor of Otranto is sheltered from N and W winds. It is also protected from all winds except those from the N.",To all except N winds that can be very violent especially in winter.
Is it possible to land on the island of Pianosa in the Tremiti Islands?,"<|system|> 
You are an assistant for question-answering tasks about maritime domain. Use the following pieces of retrieved context to answer the question. If you don't know the answer, just say that you don't know. Use three sentences maximum and keep the answer concise.<|end|>
<|user|>
Question: Is it possible to land on the island of Pianosa in the Tremiti Islands? 
Context:  <|end|>
<|assistant|> Yes, it is possible to land on the island of Pianosa in the Tremiti Islands. The islands are accessible by ferry, and there are regular services that connect to Pianosa from the mainland. Visitors can disembark and explore the island at their leisure.",No because it is a marine protected area. One must keep a distance of 500 m from its coastline.
